number_of_features: 2
f1: sensor reading 1
f2: sensor reading 2
				
number_of_classes: 4
c1: Slight-Right-Turn
c2: Sharp-Right-Turn
c3: Move-Forward
c4: Slight-Left-Turn
				
number_of_samples: 5456
f1	f2	class
1.616	0.484	c1
1.603	0.487	c1
1.586	0.497	c3
1.571	0.507	c3
1.556	0.736	c3
1.552	0.731	c3
1.555	0.726	c3
2.482	0.72	c3
2.468	0.714	c3
2.453	0.709	c3
2.437	0.577	c3
2.421	0.571	c3
2.404	0.58	c3
2.386	0.598	c3
2.371	0.604	c3
2.352	0.616	c3
2.334	0.629	c3
2.315	0.642	c3
2.296	0.648	c3
2.277	0.641	c3
2.258	0.634	c3
2.24	0.626	c3
2.221	0.621	c3
2.002	0.616	c3
1.985	0.606	c3
1.965	0.601	c3
1.944	0.591	c3
1.924	0.585	c3
1.9	0.58	c3
1.88	0.571	c3
1.098	0.565	c3
1.076	0.558	c3
1.054	0.552	c3
1.032	0.545	c3
1.007	0.539	c3
0.991	0.534	c3
0.969	0.528	c3
0.95	0.518	c3
0.932	0.514	c3
0.913	0.505	c3
0.896	0.501	c2
0.878	0.495	c2
0.861	0.488	c2
0.843	0.481	c2
0.826	0.475	c2
0.81	0.472	c2
1.553	0.466	c1
1.542	0.458	c1
1.543	0.453	c1
1.545	0.453	c1
1.544	0.453	c1
1.542	0.453	c1
1.541	0.452	c1
1.541	0.452	c1
1.54	0.452	c1
1.541	0.452	c1
1.541	0.452	c1
1.54	0.452	c1
1.54	0.452	c1
1.54	0.452	c1
1.539	0.451	c1
1.537	0.451	c1
0.504	0.449	c2
0.503	0.447	c2
0.501	0.445	c2
0.5	0.442	c2
0.495	0.439	c2
0.497	0.437	c2
0.496	0.435	c2
0.496	0.433	c2
0.747	0.432	c2
0.744	0.432	c2
0.745	0.432	c2
0.742	0.431	c2
0.742	0.431	c2
0.742	0.427	c2
0.741	0.426	c2
0.741	0.425	c2
0.738	0.427	c2
0.738	0.426	c2
0.738	0.426	c2
0.741	0.426	c2
0.74	0.425	c2
0.743	0.424	c2
1.493	0.423	c1
1.496	0.422	c1
1.732	0.42	c1
1.731	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.732	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.731	0.418	c1
1.729	0.418	c1
1.726	0.418	c1
1.721	0.417	c1
1.714	0.417	c1
1.707	0.416	c1
1.698	0.416	c1
1.689	0.416	c1
1.679	0.416	c1
1.668	0.416	c1
1.657	0.416	c1
1.647	0.416	c1
1.636	0.417	c1
1.411	0.418	c1
1.615	0.42	c1
1.604	0.421	c1
1.594	0.422	c1
1.584	0.423	c1
1.36	0.425	c1
1.348	0.426	c1
1.34	0.428	c1
1.331	0.429	c1
1.323	0.431	c1
1.314	0.433	c1
1.305	0.435	c1
1.298	0.437	c1
1.289	0.439	c1
1.285	0.441	c1
1.473	0.443	c1
1.463	0.445	c1
1.452	0.447	c1
1.442	0.449	c1
1.432	0.451	c1
1.422	0.453	c1
1.411	0.455	c1
1.401	0.458	c1
1.391	0.46	c1
1.381	0.462	c1
1.371	0.465	c1
1.362	0.467	c1
1.352	0.469	c1
1.343	0.472	c1
1.333	0.474	c1
1.324	0.477	c1
1.314	0.48	c1
1.305	0.483	c1
1.295	0.486	c1
1.286	0.489	c1
1.277	0.493	c1
1.271	0.497	c3
1.259	0.5	c3
1.25	0.503	c3
1.245	0.507	c3
1.236	0.511	c3
1.225	0.516	c3
1.213	0.522	c3
1.199	0.528	c3
1.185	0.536	c3
1.17	0.543	c3
1.154	0.551	c3
1.138	0.564	c3
1.121	0.573	c3
1.101	0.579	c3
1.084	0.592	c3
1.066	0.604	c3
1.049	0.715	c3
1.031	0.634	c3
1.027	0.638	c3
0.998	0.668	c3
0.982	0.657	c3
0.962	0.669	c3
0.946	0.683	c3
0.93	0.691	c3
0.914	0.706	c3
0.899	0.717	c2
0.883	0.725	c2
0.867	0.739	c2
0.851	0.75	c2
0.835	0.762	c2
0.819	0.772	c2
0.806	0.781	c2
0.8	0.78	c2
0.801	0.779	c2
0.802	0.777	c2
0.802	0.777	c2
0.801	0.778	c2
0.8	0.778	c2
0.8	0.777	c2
0.799	0.778	c2
0.799	0.78	c2
0.799	0.778	c2
0.798	0.781	c2
0.797	0.781	c2
0.796	0.781	c2
0.795	0.782	c2
0.795	0.786	c2
0.794	0.789	c2
0.793	0.796	c2
0.796	0.793	c2
0.796	0.827	c2
0.796	0.826	c2
0.799	0.824	c2
0.803	0.793	c2
0.81	0.819	c2
0.798	0.816	c2
0.795	0.813	c2
0.794	0.808	c2
0.794	0.808	c2
0.797	0.806	c2
0.8	0.809	c2
0.801	0.792	c2
0.821	0.789	c2
1.463	0.783	c3
1.461	0.78	c3
1.466	0.777	c3
1.467	0.775	c3
1.466	0.774	c3
1.462	0.772	c3
1.456	0.771	c3
1.448	0.768	c3
1.437	0.763	c3
1.425	0.757	c3
1.411	0.751	c3
1.395	0.745	c3
1.379	0.738	c3
1.362	0.732	c3
1.345	0.725	c3
1.328	0.717	c3
1.309	0.71	c3
1.291	0.703	c3
1.273	0.696	c3
1.257	0.689	c3
1.235	0.682	c3
1.216	0.675	c3
1.196	0.668	c3
1.177	0.661	c3
1.159	0.654	c3
1.14	0.647	c3
1.122	0.64	c3
1.103	0.633	c3
1.085	0.626	c3
1.066	0.619	c3
1.046	0.612	c3
1.027	0.604	c3
1.009	0.597	c3
0.99	0.59	c3
0.971	0.583	c3
0.775	0.576	c2
0.759	0.569	c2
0.712	0.562	c2
0.689	0.554	c2
0.674	0.547	c2
0.656	0.54	c2
0.655	0.534	c2
0.847	0.533	c2
0.85	0.535	c2
0.852	0.531	c2
0.853	0.531	c2
0.853	0.527	c2
0.852	0.526	c2
0.852	0.525	c2
0.584	0.524	c2
0.582	0.523	c2
0.582	0.522	c2
0.852	0.521	c2
0.582	0.52	c2
0.583	0.52	c2
0.85	0.519	c2
0.849	0.518	c2
0.849	0.517	c2
0.85	0.517	c2
0.85	0.516	c2
0.851	0.515	c2
0.851	0.513	c2
0.852	0.512	c2
0.855	0.51	c2
0.857	0.509	c2
0.858	0.508	c2
0.858	0.507	c2
0.602	0.504	c2
0.854	0.501	c2
0.854	0.498	c2
0.854	0.496	c2
0.854	0.494	c2
0.857	0.492	c2
0.858	0.49	c2
0.857	0.488	c2
0.856	0.486	c2
0.855	0.483	c2
0.851	0.48	c2
0.85	0.477	c2
0.852	0.475	c2
0.851	0.473	c2
0.851	0.471	c2
0.851	0.47	c2
0.854	0.468	c2
0.852	0.467	c2
0.847	0.469	c2
0.845	0.47	c2
0.841	0.466	c2
0.839	0.465	c2
0.841	0.464	c2
0.84	0.463	c2
0.839	0.467	c2
0.838	0.48	c2
5	0.506	c3
5	0.575	c3
5	0.475	c1
5	0.476	c1
0.939	0.565	c3
5	0.569	c3
5	0.569	c3
5	0.569	c3
5	0.566	c3
5	0.483	c1
5	0.573	c3
5	0.573	c3
0.816	0.506	c2
0.806	0.516	c2
0.794	0.528	c2
0.784	0.54	c2
0.772	0.552	c2
0.764	0.565	c2
0.756	0.606	c2
0.752	0.772	c2
0.753	0.993	c2
0.758	0.992	c2
0.758	0.595	c2
0.758	0.991	c2
0.758	0.597	c2
0.758	0.594	c2
0.761	0.986	c2
0.774	0.988	c2
0.777	0.762	c2
3.163	0.589	c3
3.163	0.587	c3
3.164	0.589	c3
3.163	0.597	c3
3.162	0.598	c3
3.158	0.598	c3
3.151	0.604	c3
3.142	0.613	c3
3.131	0.627	c3
3.118	0.722	c3
3.104	0.715	c3
3.088	0.708	c3
3.072	0.7	c3
3.055	0.692	c3
3.037	0.684	c3
3.019	0.675	c3
3	0.667	c3
2.982	0.658	c3
2.964	0.649	c3
2.945	0.641	c3
2.928	0.632	c3
2.91	0.624	c3
0.808	0.616	c2
0.789	0.609	c2
0.758	0.601	c2
0.759	0.593	c2
0.747	0.586	c2
2.801	0.621	c3
2.786	0.611	c3
2.776	0.605	c3
2.769	0.603	c3
2.765	0.598	c3
2.769	0.599	c3
2.766	0.6	c3
2.764	0.6	c3
2.763	0.599	c3
2.761	0.598	c3
2.758	0.597	c3
2.753	0.595	c3
2.745	0.592	c3
2.734	0.578	c3
2.722	0.583	c3
2.708	0.574	c3
2.693	0.551	c3
2.678	0.551	c3
2.661	0.558	c3
2.644	0.55	c3
2.626	0.546	c3
2.608	0.536	c3
2.589	0.528	c3
2.57	0.521	c3
2.55	0.513	c3
2.531	0.505	c3
2.511	0.498	c3
2.491	0.49	c1
2.472	0.482	c1
2.452	0.474	c1
2.433	0.466	c1
2.415	0.457	c1
2.397	0.45	c1
2.38	0.443	c1
2.363	0.436	c1
2.348	0.43	c1
2.333	0.427	c1
2.319	0.425	c1
2.307	0.437	c1
1.793	0.426	c1
1.78	0.418	c1
1.768	0.426	c1
1.757	0.403	c1
1.749	0.397	c1
1.745	0.394	c1
2.243	0.392	c1
2.236	0.39	c1
2.229	0.388	c1
2.222	0.386	c1
2.218	0.387	c1
2.212	0.388	c1
2.205	0.387	c1
2.199	0.504	c3
2.192	0.432	c1
2.185	0.381	c1
2.177	0.38	c1
2.165	0.376	c1
2.156	0.379	c1
2.147	0.428	c1
2.137	0.42	c1
2.127	0.422	c1
2.116	0.452	c1
2.105	0.426	c1
2.094	0.388	c1
2.083	0.39	c1
2.072	0.427	c1
2.062	0.401	c1
2.051	1.407	c4
2.04	1.401	c4
2.028	1.399	c4
2.015	1.4	c4
2.002	1.399	c4
1.988	1.395	c4
1.973	1.391	c4
1.958	1.391	c4
1.943	1.39	c4
1.928	1.387	c4
1.912	1.386	c4
1.897	1.386	c4
1.882	1.382	c4
1.867	1.381	c4
1.852	1.381	c4
1.838	1.381	c4
1.824	1.381	c4
1.811	1.384	c4
1.799	1.383	c4
1.787	1.386	c4
1.68	1.417	c4
1.671	1.384	c4
1.745	1.38	c4
1.601	1.379	c4
1.599	1.38	c4
1.605	0.621	c3
1.395	0.622	c3
1.385	0.629	c3
1.369	0.639	c3
1.36	0.72	c3
1.399	0.744	c3
1.408	0.751	c3
1.372	0.764	c3
1.327	0.889	c3
1.317	0.9	c3
1.308	0.923	c4
1.291	0.937	c4
1.277	2.127	c4
1.263	2.14	c4
1.249	2.153	c4
1.235	2.165	c4
1.221	2.177	c4
1.208	2.191	c4
1.195	2.202	c4
1.183	2.213	c4
1.17	2.222	c4
1.158	2.228	c4
1.149	2.234	c4
1.137	2.243	c4
1.128	2.251	c4
1.117	2.255	c4
1.104	2.263	c4
1.091	2.271	c4
1.078	2.278	c4
1.061	0.785	c3
1.045	0.786	c3
1.033	0.784	c3
1.02	0.755	c3
1.008	0.758	c3
1.001	0.762	c3
0.988	0.762	c3
0.974	0.765	c3
0.959	0.769	c3
0.942	0.769	c3
0.921	0.773	c3
0.902	0.776	c3
0.882	0.78	c2
0.863	0.781	c2
0.843	0.785	c2
0.823	0.789	c2
0.803	0.789	c2
0.785	0.792	c2
0.773	0.797	c2
0.77	0.795	c2
0.773	0.794	c2
0.776	0.793	c2
0.778	0.793	c2
0.778	0.793	c2
0.777	0.792	c2
0.777	0.793	c2
0.777	0.792	c2
0.778	0.792	c2
0.778	0.793	c2
0.778	0.792	c2
0.78	0.788	c2
0.78	0.788	c2
0.78	0.787	c2
0.78	0.786	c2
0.78	0.785	c2
0.78	0.784	c2
0.782	0.783	c2
0.782	0.779	c2
0.78	0.778	c2
0.777	0.776	c2
0.776	0.778	c2
0.776	0.776	c2
0.775	0.775	c2
0.775	0.773	c2
0.778	0.776	c2
0.778	0.798	c2
0.776	0.785	c2
0.772	0.777	c2
0.771	0.776	c2
0.77	0.772	c2
0.768	0.768	c2
0.767	0.77	c2
0.766	0.856	c2
0.765	0.82	c2
0.768	0.817	c2
0.767	0.799	c2
0.767	0.791	c2
0.827	0.789	c2
0.789	0.84	c2
0.765	0.791	c2
0.765	0.781	c2
0.768	0.832	c2
0.771	0.768	c2
0.781	0.762	c2
0.851	0.755	c2
0.847	0.753	c2
0.87	0.75	c2
0.904	0.751	c3
0.9	0.748	c2
1.38	0.758	c3
1.384	0.738	c3
1.384	0.734	c3
1.384	0.737	c3
1.38	0.735	c3
1.379	0.741	c3
1.381	0.737	c3
1.378	0.737	c3
1.37	0.735	c3
1.365	0.733	c3
1.35	0.729	c3
1.34	0.723	c3
1.326	0.722	c3
1.306	0.719	c3
1.293	0.713	c3
1.275	0.714	c3
1.257	0.715	c3
1.238	0.707	c3
1.22	0.697	c3
1.202	0.704	c3
1.183	0.692	c3
1.163	0.698	c3
1.144	0.673	c3
1.124	0.67	c3
1.104	0.664	c3
1.084	0.648	c3
0.927	0.649	c3
0.899	0.638	c2
0.879	0.635	c2
0.862	0.629	c2
0.845	0.615	c2
0.829	0.609	c2
0.813	0.602	c2
0.8	0.608	c2
0.794	0.587	c2
0.809	0.58	c2
0.922	0.583	c3
0.923	0.579	c3
0.923	0.58	c3
0.923	0.58	c3
0.921	0.579	c3
0.918	0.578	c3
0.914	0.577	c3
0.907	0.575	c3
0.898	0.573	c2
0.887	0.57	c2
0.873	0.566	c2
0.859	0.563	c2
0.845	0.558	c2
0.833	0.554	c2
0.821	0.551	c2
0.811	0.548	c2
0.805	0.541	c2
0.805	0.537	c2
0.807	0.536	c2
0.808	0.536	c2
0.808	0.536	c2
0.808	0.535	c2
0.808	0.534	c2
0.809	0.533	c2
0.809	0.529	c2
0.81	0.529	c2
0.81	0.528	c2
0.811	0.528	c2
0.811	0.526	c2
0.812	0.528	c2
0.812	0.527	c2
0.811	0.527	c2
0.811	0.525	c2
0.81	0.53	c2
0.809	0.523	c2
0.809	0.517	c2
0.808	0.512	c2
0.808	0.509	c2
0.808	0.51	c2
0.807	0.509	c2
0.806	0.511	c2
0.805	0.516	c2
0.803	0.514	c2
0.803	0.503	c2
0.802	0.498	c2
0.802	0.492	c2
0.802	0.49	c2
0.805	0.491	c2
0.804	0.49	c2
0.798	0.513	c2
0.797	0.591	c2
0.795	0.515	c2
0.794	0.487	c2
0.793	0.486	c2
0.792	0.486	c2
0.791	0.854	c2
0.794	0.833	c2
0.793	0.822	c2
0.831	0.644	c2
0.82	0.631	c2
0.792	0.625	c2
0.792	0.622	c2
0.795	0.624	c2
0.798	0.502	c2
0.801	0.503	c2
0.815	0.511	c2
0.945	0.513	c3
0.944	0.777	c3
1.738	0.774	c3
1.738	0.772	c3
1.737	0.774	c3
1.735	0.774	c3
1.735	0.774	c3
1.733	0.773	c3
1.731	0.769	c3
1.726	0.767	c3
1.719	0.764	c3
1.709	0.76	c3
1.696	0.757	c3
1.682	0.751	c3
0.94	0.746	c3
0.926	0.74	c3
0.908	0.732	c3
0.899	0.726	c2
0.878	0.718	c2
0.866	0.711	c2
1.558	0.704	c3
0.845	0.697	c2
0.832	0.69	c2
0.902	0.684	c3
0.806	0.682	c2
1.483	0.676	c3
1.477	0.672	c3
1.476	0.672	c3
1.476	0.674	c3
1.474	0.67	c3
1.472	0.67	c3
1.47	0.669	c3
1.468	0.668	c3
0.851	0.67	c2
1.465	0.667	c3
0.848	0.667	c2
1.463	0.672	c3
1.462	0.671	c3
1.46	0.67	c3
1.458	0.665	c3
1.457	0.664	c3
1.455	0.664	c3
1.453	0.663	c3
1.452	0.666	c3
1.449	0.659	c3
0.9	0.661	c2
0.898	0.664	c2
0.894	0.659	c2
1.432	0.653	c3
1.425	0.65	c3
1.415	0.644	c3
1.408	0.641	c3
1.4	0.638	c3
1.391	0.635	c3
1.379	0.631	c3
1.366	0.627	c3
1.352	0.623	c3
1.336	0.619	c3
1.322	0.614	c3
1.305	0.61	c3
1.288	0.605	c3
1.27	0.601	c3
1.252	0.597	c3
1.234	0.593	c3
1.215	0.589	c3
1.197	0.584	c3
1.182	0.579	c3
1.164	0.575	c3
1.146	0.571	c3
1.128	0.566	c3
1.111	0.562	c3
1.097	0.558	c3
1.08	0.554	c3
1.066	0.55	c3
1.048	0.543	c3
1.03	0.539	c3
1.009	0.536	c3
0.988	0.533	c3
0.971	0.53	c3
0.954	0.528	c3
0.935	0.525	c3
0.919	0.523	c3
0.899	0.52	c2
0.882	0.518	c2
0.865	0.515	c2
0.848	0.513	c2
0.833	0.51	c2
0.818	0.507	c2
0.806	0.505	c2
0.803	0.502	c2
0.804	0.501	c2
0.806	0.501	c2
0.806	0.501	c2
0.806	0.501	c2
0.805	0.5	c2
0.805	0.5	c2
0.808	0.499	c2
0.809	0.499	c2
0.805	0.498	c2
0.808	0.497	c2
0.814	0.495	c2
1.074	0.493	c1
1.07	0.49	c1
1.069	0.489	c1
0.82	0.487	c2
1.473	0.485	c1
1.472	0.486	c1
1.072	0.486	c1
1.471	0.486	c1
1.471	0.486	c1
1.471	0.486	c1
1.471	0.486	c1
1.47	0.486	c1
1.47	0.485	c1
1.47	0.485	c1
1.468	0.486	c1
1.466	0.486	c1
1.462	0.486	c1
1.458	0.486	c1
1.452	0.487	c1
1.445	0.488	c1
1.437	0.488	c1
1.425	0.49	c1
1.417	0.491	c1
1.412	0.493	c1
1.404	0.494	c1
1.393	0.496	c3
1.385	0.497	c3
1.377	0.498	c3
1.369	0.5	c3
1.363	0.502	c3
1.353	0.505	c3
1.342	0.509	c3
1.33	0.513	c3
1.318	0.518	c3
1.305	0.523	c3
1.293	0.529	c3
1.28	0.534	c3
1.267	0.54	c3
1.252	0.546	c3
1.233	0.552	c3
1.217	0.558	c3
1.199	0.564	c3
1.179	0.57	c3
1.16	0.576	c3
1.141	0.583	c3
1.122	0.589	c3
1.101	0.595	c3
1.085	0.601	c3
1.065	0.607	c3
1.045	0.613	c3
1.026	0.619	c3
1.008	0.625	c3
0.989	0.63	c3
0.971	0.632	c3
0.952	0.631	c3
0.934	0.634	c3
0.879	0.637	c2
0.857	0.64	c2
0.835	0.644	c2
0.816	0.649	c2
0.794	0.653	c2
0.776	0.661	c2
0.762	0.66	c2
0.756	0.658	c2
0.757	0.652	c2
0.76	0.651	c2
0.761	0.65	c2
0.761	0.65	c2
0.76	0.649	c2
0.763	0.649	c2
0.763	0.648	c2
0.767	0.648	c2
0.77	0.647	c2
1.461	0.646	c3
1.461	0.646	c3
1.462	0.644	c3
1.036	0.644	c3
1.035	0.644	c3
1.034	0.645	c3
1.032	0.646	c3
1.031	0.648	c3
1.023	0.651	c3
1.018	0.656	c3
1.012	0.661	c3
1.002	0.667	c3
0.998	0.674	c3
0.989	0.685	c3
0.981	0.693	c3
0.664	0.702	c2
0.641	0.71	c2
0.619	0.718	c2
0.602	0.724	c2
0.586	0.732	c2
0.569	0.736	c2
0.558	0.737	c2
0.548	0.74	c2
0.544	0.738	c2
0.545	0.736	c2
0.549	0.735	c2
0.55	0.735	c2
0.55	0.735	c2
0.549	0.732	c2
0.553	0.734	c2
1.011	0.733	c3
1.012	0.732	c3
1.015	0.732	c3
1.014	0.731	c3
1.023	0.732	c3
1.015	0.732	c3
1.009	0.733	c3
1.005	0.734	c3
1.002	0.736	c3
0.99	0.736	c3
0.976	0.736	c3
0.964	0.738	c3
0.951	0.739	c3
0.943	0.742	c3
0.948	0.741	c3
0.936	0.738	c3
0.886	0.735	c2
0.867	0.735	c2
0.847	0.734	c2
0.831	0.739	c2
0.813	0.741	c2
0.799	0.746	c2
0.787	0.753	c2
0.777	0.856	c2
0.774	0.854	c2
0.775	0.85	c2
0.776	0.85	c2
0.776	0.849	c2
0.776	0.849	c2
0.776	0.755	c2
0.776	0.75	c2
0.775	0.749	c2
0.775	0.746	c2
0.775	0.745	c2
0.775	0.744	c2
0.774	0.74	c2
0.774	0.738	c2
0.774	0.736	c2
0.773	0.731	c2
0.776	0.732	c2
0.776	0.73	c2
0.786	0.732	c2
0.786	0.372	c2
0.775	0.363	c2
0.775	0.36	c2
0.775	0.355	c2
0.778	0.356	c2
0.781	0.354	c2
0.784	0.735	c2
0.804	0.732	c2
1.826	0.778	c3
1.82	0.349	c1
1.817	0.342	c1
1.819	0.34	c1
1.819	0.34	c1
1.818	0.341	c1
1.818	0.341	c1
1.818	0.341	c1
1.818	0.341	c1
1.818	0.341	c1
1.817	0.341	c1
1.817	0.341	c1
1.818	0.341	c1
1.817	0.34	c1
1.816	0.34	c1
1.813	0.34	c1
1.809	0.341	c1
0.95	0.341	c1
0.941	0.345	c1
0.928	0.356	c1
0.921	0.74	c3
0.914	0.74	c3
0.906	0.734	c3
0.905	0.727	c3
2.751	0.723	c3
2.739	0.355	c1
2.726	0.355	c1
2.711	0.361	c1
2.696	0.367	c1
2.68	0.394	c1
2.665	0.691	c3
2.652	0.687	c3
2.638	0.683	c3
2.626	0.68	c3
2.616	0.676	c3
2.603	0.672	c3
2.591	0.478	c1
2.575	0.664	c3
2.555	0.659	c3
2.541	0.655	c3
2.52	0.552	c3
1.493	0.647	c3
1.476	0.533	c3
1.455	0.571	c3
1.433	0.634	c3
2.427	0.63	c3
1.403	0.626	c3
1.96	0.621	c3
1.364	0.617	c3
1.345	0.613	c3
1.324	0.609	c3
1.306	0.604	c3
1.287	0.6	c3
1.272	0.595	c3
1.253	0.59	c3
1.235	0.586	c3
1.216	0.581	c3
1.197	0.576	c3
1.182	0.572	c3
1.161	0.564	c3
1.144	0.561	c3
1.126	0.558	c3
1.108	0.553	c3
1.09	0.549	c3
1.075	0.545	c3
1.054	0.54	c3
1.04	0.536	c3
0.592	0.531	c2
0.587	0.527	c2
0.579	0.522	c2
0.577	0.517	c2
0.573	0.512	c2
0.569	0.508	c2
1.898	0.503	c3
1.897	0.501	c3
1.9	0.501	c3
1.9	0.501	c3
1.898	0.501	c3
1.895	0.5	c3
1.889	0.499	c3
1.879	0.498	c3
1.868	0.495	c3
1.855	0.493	c1
1.84	0.49	c1
1.825	0.487	c1
1.809	0.484	c1
1.793	0.481	c1
0.818	0.478	c2
0.803	0.475	c2
0.788	0.472	c2
0.778	0.47	c2
0.768	0.468	c2
0.755	0.465	c2
0.747	0.463	c2
0.746	0.459	c2
0.747	0.461	c2
0.749	0.461	c2
0.749	0.461	c2
0.749	0.46	c2
0.752	0.46	c2
0.765	0.46	c2
0.756	0.459	c2
1.494	0.459	c1
1.491	0.458	c1
1.488	0.457	c1
1.491	0.456	c1
1.493	0.456	c1
1.489	0.456	c1
1.492	0.456	c1
1.71	0.456	c1
1.495	0.456	c1
1.492	0.456	c1
1.492	0.456	c1
1.492	0.456	c1
1.492	0.456	c1
1.495	0.456	c1
1.709	0.456	c1
1.709	0.456	c1
1.494	0.456	c1
1.708	0.456	c1
1.707	0.456	c1
1.707	0.456	c1
1.707	0.456	c1
1.707	0.456	c1
1.705	0.456	c1
1.702	0.455	c1
1.697	0.454	c1
1.69	0.453	c1
1.683	0.452	c1
1.674	0.452	c1
1.665	0.451	c1
1.655	0.451	c1
1.645	0.45	c1
1.636	0.449	c1
1.626	0.449	c1
1.616	0.449	c1
1.606	0.45	c1
1.596	0.45	c1
1.586	0.451	c1
1.575	0.452	c1
1.565	0.452	c1
1.556	0.453	c1
1.547	0.454	c1
1.537	0.454	c1
1.329	0.455	c1
1.317	0.457	c1
1.312	0.458	c1
1.304	0.459	c1
1.296	0.461	c1
1.29	0.462	c1
1.282	0.464	c1
1.273	0.466	c1
1.447	0.468	c1
1.435	0.47	c1
1.424	0.472	c1
1.413	0.474	c1
1.406	0.476	c1
1.397	0.478	c1
1.387	0.479	c1
1.375	0.481	c1
1.366	0.483	c1
1.356	0.485	c1
1.346	0.487	c1
1.336	0.489	c1
1.326	0.491	c1
1.316	0.494	c1
1.306	0.496	c3
1.296	0.499	c3
1.287	0.501	c3
1.278	0.504	c3
1.267	0.507	c3
1.255	0.511	c3
1.241	0.516	c3
1.226	0.521	c3
1.21	0.527	c3
1.194	0.533	c3
1.178	0.539	c3
1.161	0.546	c3
1.143	0.553	c3
1.125	0.561	c3
1.106	0.568	c3
1.087	0.576	c3
1.068	0.584	c3
1.049	0.595	c3
1.033	0.599	c3
1.014	0.61	c3
0.995	0.618	c3
0.976	0.627	c3
0.957	0.636	c3
0.936	0.646	c3
0.917	0.655	c3
0.899	0.664	c2
0.881	0.673	c2
0.863	0.683	c2
0.846	0.691	c2
0.829	0.7	c2
0.812	0.708	c2
0.797	0.717	c2
0.789	0.722	c2
0.785	0.726	c2
0.782	0.723	c2
0.783	0.722	c2
0.783	0.728	c2
0.783	0.725	c2
0.782	0.725	c2
0.781	0.724	c2
0.781	0.724	c2
0.78	0.723	c2
0.778	0.719	c2
0.777	0.719	c2
0.776	0.718	c2
0.776	0.717	c2
0.775	0.72	c2
0.775	0.719	c2
0.774	0.726	c2
0.777	0.733	c2
0.78	1.142	c2
0.791	0.725	c2
0.777	1.129	c2
0.776	0.728	c2
0.776	0.791	c2
0.775	0.853	c2
0.781	0.752	c2
0.781	0.817	c2
0.799	0.773	c2
1.555	0.767	c3
1.556	0.765	c3
1.557	0.747	c3
1.557	0.752	c3
0.791	0.755	c2
0.786	0.754	c2
0.787	0.752	c2
0.78	0.748	c2
1.53	0.743	c3
1.522	0.739	c3
1.515	0.735	c3
1.509	0.731	c3
1.502	0.731	c3
1.493	0.727	c3
1.483	0.723	c3
1.471	0.719	c3
1.457	0.714	c3
1.443	0.708	c3
1.426	0.711	c3
1.413	0.705	c3
1.396	0.699	c3
1.378	0.689	c3
1.36	0.683	c3
1.338	0.677	c3
1.32	0.668	c3
1.301	0.658	c3
1.285	0.656	c3
1.265	0.65	c3
1.245	0.648	c3
1.225	0.642	c3
1.206	0.633	c3
1.186	0.627	c3
1.167	0.618	c3
1.147	0.611	c3
1.128	0.605	c3
1.109	0.598	c3
1.087	0.592	c3
1.068	0.586	c3
1.05	0.58	c3
1.031	0.574	c3
1.013	0.567	c3
0.995	0.561	c3
0.733	0.555	c2
0.704	0.549	c2
0.682	0.542	c2
0.666	0.541	c2
0.656	0.534	c2
0.886	0.525	c2
0.87	0.519	c2
0.86	0.507	c2
0.859	0.504	c2
0.862	0.502	c2
0.864	0.502	c2
0.864	0.502	c2
0.863	0.502	c2
0.865	0.501	c2
0.865	0.5	c2
0.865	0.499	c2
0.866	0.498	c2
0.866	0.496	c2
0.867	0.495	c2
0.867	0.495	c2
0.867	0.495	c2
0.867	0.495	c2
0.867	0.494	c2
0.868	0.493	c2
0.868	0.492	c2
0.869	0.491	c2
0.869	0.49	c2
0.869	0.489	c2
0.866	0.488	c2
0.865	0.487	c2
0.586	0.485	c2
0.588	0.483	c2
0.87	0.481	c2
0.87	0.478	c2
0.87	0.476	c2
0.87	0.474	c2
0.87	0.472	c2
0.87	0.47	c2
0.87	0.469	c2
0.869	0.466	c2
0.865	0.463	c2
0.864	0.461	c2
0.866	0.459	c2
0.865	0.456	c2
0.864	0.454	c2
0.863	0.452	c2
0.863	0.451	c2
0.865	0.449	c2
0.862	0.448	c2
0.863	0.45	c2
0.853	0.451	c2
0.856	0.446	c2
0.854	0.445	c2
0.853	0.445	c2
0.852	0.444	c2
0.851	0.448	c2
0.851	0.474	c2
0.853	0.504	c2
0.855	0.538	c2
0.857	0.455	c2
0.951	0.452	c1
0.856	0.452	c2
0.901	0.452	c1
0.897	0.452	c2
0.866	0.456	c2
0.869	0.455	c2
0.876	0.455	c2
0.897	0.455	c2
0.896	0.475	c2
0.852	0.529	c2
0.852	0.529	c2
0.852	0.531	c2
0.852	0.53	c2
0.852	0.873	c2
0.855	0.479	c2
0.855	1.032	c2
0.858	0.468	c2
0.868	0.463	c2
0.879	0.467	c2
3.283	0.469	c1
3.281	0.478	c1
3.285	0.838	c3
3.287	0.833	c3
3.287	0.832	c3
3.286	0.835	c3
3.284	0.834	c3
3.28	0.83	c3
3.27	0.828	c3
3.26	0.511	c3
3.251	0.821	c3
3.241	0.813	c3
3.226	0.81	c3
3.207	0.801	c3
3.191	0.797	c3
